Local time,Open,High,Low,Close,Volume
22.04.2024 00:00:00.000 GMT+0200,1.06561,1.06586,1.06555,1.06562,365.59
22.04.2024 00:01:00.000 GMT+0200,1.06563,1.06567,1.06545,1.06559,141.68
22.04.2024 00:02:00.000 GMT+0200,1.06562,1.06594,1.06562,1.06593,110.25
22.04.2024 00:03:00.000 GMT+0200,1.06593,1.06593,1.06578,1.06578,39.6
22.04.2024 00:04:00.000 GMT+0200,1.06580,1.06587,1.06580,1.06587,35.1
22.04.2024 00:05:00.000 GMT+0200,1.06587,1.06588,1.06587,1.06588,14.4
22.04.2024 00:06:00.000 GMT+0200,1.06588,1.06589,1.06587,1.06589,13.5
22.04.2024 00:07:00.000 GMT+0200,1.06589,1.06589,1.06587,1.06587,9.45
22.04.2024 00:08:00.000 GMT+0200,1.06586,1.06591,1.06586,1.06589,30.6
22.04.2024 00:09:00.000 GMT+0200,1.06592,1.06593,1.06592,1.06593,4.5
22.04.2024 00:10:00.000 GMT+0200,1.06592,1.06595,1.06592,1.06595,28.8
22.04.2024 00:11:00.000 GMT+0200,1.06594,1.06603,1.06592,1.06603,28.35
22.04.2024 00:12:00.000 GMT+0200,1.06604,1.06614,1.06604,1.06612,30.15
22.04.2024 00:13:00.000 GMT+0200,1.06612,1.06613,1.06611,1.06611,27
22.04.2024 00:14:00.000 GMT+0200,1.06611,1.06611,1.06609,1.06609,17.1
22.04.2024 00:15:00.000 GMT+0200,1.06609,1.06614,1.06600,1.06600,36.9
22.04.2024 00:16:00.000 GMT+0200,1.06599,1.06599,1.06597,1.06598,7.2
22.04.2024 00:17:00.000 GMT+0200,1.06599,1.06599,1.06599,1.06599,2.7
22.04.2024 00:18:00.000 GMT+0200,1.06597,1.06597,1.06597,1.06597,3.6
22.04.2024 00:19:00.000 GMT+0200,1.06597,1.06597,1.06597,1.06597,1.8
22.04.2024 00:20:00.000 GMT+0200,1.06595,1.06595,1.06592,1.06592,5.4
22.04.2024 00:21:00.000 GMT+0200,1.06594,1.06599,1.06594,1.06599,8.1
22.04.2024 00:22:00.000 GMT+0200,1.06599,1.06599,1.06597,1.06597,14.4
22.04.2024 00:23:00.000 GMT+0200,1.06597,1.06599,1.06597,1.06597,11.7
22.04.2024 00:24:00.000 GMT+0200,1.06596,1.06596,1.06590,1.06590,18.45
22.04.2024 00:25:00.000 GMT+0200,1.06589,1.06605,1.06588,1.06605,57.15
22.04.2024 00:26:00.000 GMT+0200,1.06605,1.06605,1.06605,1.06605,15.3
22.04.2024 00:27:00.000 GMT+0200,1.06606,1.06610,1.06606,1.06609,9.9
22.04.2024 00:28:00.000 GMT+0200,1.06609,1.06609,1.06609,1.06609,0
22.04.2024 00:29:00.000 GMT+0200,1.06607,1.06607,1.06597,1.06597,71.82
22.04.2024 00:30:00.000 GMT+0200,1.06599,1.06605,1.06598,1.06599,55.8
22.04.2024 00:31:00.000 GMT+0200,1.06600,1.06600,1.06599,1.06599,19.35
22.04.2024 00:32:00.000 GMT+0200,1.06599,1.06602,1.06598,1.06602,65.7
22.04.2024 00:33:00.000 GMT+0200,1.06602,1.06602,1.06599,1.06599,32.4
22.04.2024 00:34:00.000 GMT+0200,1.06599,1.06599,1.06598,1.06598,8.1
22.04.2024 00:35:00.000 GMT+0200,1.06597,1.06600,1.06597,1.06599,19.35
22.04.2024 00:36:00.000 GMT+0200,1.06599,1.06599,1.06594,1.06594,50.4
22.04.2024 00:37:00.000 GMT+0200,1.06593,1.06593,1.06592,1.06593,10.11
22.04.2024 00:38:00.000 GMT+0200,1.06593,1.06593,1.06592,1.06592,6.18
22.04.2024 00:39:00.000 GMT+0200,1.06593,1.06598,1.06590,1.06597,13.98
22.04.2024 00:40:00.000 GMT+0200,1.06597,1.06598,1.06595,1.06598,4.41
22.04.2024 00:41:00.000 GMT+0200,1.06597,1.06597,1.06597,1.06597,0.9
22.04.2024 00:42:00.000 GMT+0200,1.06597,1.06597,1.06595,1.06595,14.73
22.04.2024 00:43:00.000 GMT+0200,1.06594,1.06594,1.06588,1.06588,47.55
22.04.2024 00:44:00.000 GMT+0200,1.06589,1.06589,1.06582,1.06583,55.35
22.04.2024 00:45:00.000 GMT+0200,1.06583,1.06594,1.06583,1.06594,18
22.04.2024 00:46:00.000 GMT+0200,1.06593,1.06595,1.06593,1.06593,8.1
22.04.2024 00:47:00.000 GMT+0200,1.06594,1.06594,1.06588,1.06588,28.8
22.04.2024 00:48:00.000 GMT+0200,1.06588,1.06590,1.06588,1.06589,17.1
22.04.2024 00:49:00.000 GMT+0200,1.06588,1.06590,1.06588,1.06590,4.5
22.04.2024 00:50:00.000 GMT+0200,1.06591,1.06594,1.06590,1.06593,13.05
22.04.2024 00:51:00.000 GMT+0200,1.06591,1.06591,1.06585,1.06586,48.15
22.04.2024 00:52:00.000 GMT+0200,1.06585,1.06587,1.06585,1.06586,15.3
22.04.2024 00:53:00.000 GMT+0200,1.06585,1.06588,1.06585,1.06588,6.3
22.04.2024 00:54:00.000 GMT+0200,1.06588,1.06588,1.06588,1.06588,0
22.04.2024 00:55:00.000 GMT+0200,1.06586,1.06586,1.06586,1.06586,5.4
22.04.2024 00:56:00.000 GMT+0200,1.06587,1.06588,1.06586,1.06587,26.1
22.04.2024 00:57:00.000 GMT+0200,1.06588,1.06589,1.06587,1.06589,11.7
22.04.2024 00:58:00.000 GMT+0200,1.06588,1.06588,1.06588,1.06588,6.3
