Local time,Open,High,Low,Close,Volume
07.05.2024 00:00:00.000 GMT+0200,1.07688,1.07692,1.07686,1.07692,7.199999999999999
07.05.2024 00:00:01.000 GMT+0200,1.07693,1.07694,1.07692,1.07694,9
07.05.2024 00:00:02.000 GMT+0200,1.07696,1.07696,1.07696,1.07696,4.05
07.05.2024 00:00:03.000 GMT+0200,1.07697,1.07697,1.07697,1.07697,1.8
07.05.2024 00:00:04.000 GMT+0200,1.07697,1.07698,1.07697,1.07698,1.8
07.05.2024 00:00:06.000 GMT+0200,1.07697,1.07697,1.07697,1.07697,2.7000000000000006
07.05.2024 00:00:07.000 GMT+0200,1.07697,1.07698,1.07697,1.07698,1.8
07.05.2024 00:00:09.000 GMT+0200,1.07697,1.07697,1.07697,1.07697,1.8
07.05.2024 00:00:12.000 GMT+0200,1.07700,1.07703,1.07700,1.07703,2.7000000000000006
07.05.2024 00:00:13.000 GMT+0200,1.07705,1.07707,1.07705,1.07707,5.4
07.05.2024 00:00:14.000 GMT+0200,1.07706,1.07706,1.07705,1.07705,3.6
07.05.2024 00:00:15.000 GMT+0200,1.07705,1.07705,1.07705,1.07705,0.9
07.05.2024 00:00:23.000 GMT+0200,1.07706,1.07706,1.07706,1.07706,0.9
07.05.2024 00:00:27.000 GMT+0200,1.07705,1.07705,1.07705,1.07705,0.9
07.05.2024 00:00:28.000 GMT+0200,1.07704,1.07704,1.07704,1.07704,1.8
07.05.2024 00:00:53.000 GMT+0200,1.07704,1.07704,1.07704,1.07704,0.45
07.05.2024 00:00:59.000 GMT+0200,1.07703,1.07703,1.07703,1.07703,2.7
07.05.2024 00:01:00.000 GMT+0200,1.07704,1.07704,1.07704,1.07704,0.9
07.05.2024 00:01:01.000 GMT+0200,1.07703,1.07704,1.07703,1.07704,4.5
07.05.2024 00:01:07.000 GMT+0200,1.07705,1.07705,1.07705,1.07705,0.9
07.05.2024 00:01:10.000 GMT+0200,1.07705,1.07705,1.07705,1.07705,0.9
07.05.2024 00:01:14.000 GMT+0200,1.07704,1.07704,1.07704,1.07704,4.05
07.05.2024 00:02:01.000 GMT+0200,1.07705,1.07705,1.07705,1.07705,1.8
07.05.2024 00:02:16.000 GMT+0200,1.07704,1.07705,1.07704,1.07705,4.5
07.05.2024 00:02:17.000 GMT+0200,1.07705,1.07705,1.07705,1.07705,1.8
07.05.2024 00:02:21.000 GMT+0200,1.07703,1.07703,1.07701,1.07701,10.35
07.05.2024 00:02:22.000 GMT+0200,1.07701,1.07701,1.07701,1.07701,2.7
07.05.2024 00:02:24.000 GMT+0200,1.07702,1.07702,1.07701,1.07701,4.5
07.05.2024 00:02:27.000 GMT+0200,1.07702,1.07702,1.07702,1.07702,1.8
07.05.2024 00:02:28.000 GMT+0200,1.07701,1.07701,1.07701,1.07701,2.7
07.05.2024 00:02:29.000 GMT+0200,1.07702,1.07702,1.07702,1.07702,1.8
07.05.2024 00:02:40.000 GMT+0200,1.07701,1.07701,1.07701,1.07701,2.7
07.05.2024 00:02:41.000 GMT+0200,1.07702,1.07702,1.07702,1.07702,1.8
07.05.2024 00:02:52.000 GMT+0200,1.07701,1.07701,1.07701,1.07701,2.7
07.05.2024 00:03:00.000 GMT+0200,1.07702,1.07702,1.07701,1.07701,6.75
07.05.2024 00:03:01.000 GMT+0200,1.07702,1.07702,1.07702,1.07702,1.8
07.05.2024 00:03:15.000 GMT+0200,1.07702,1.07702,1.07702,1.07702,3.6
07.05.2024 00:03:21.000 GMT+0200,1.07702,1.07702,1.07701,1.07701,2.7000000000000006
07.05.2024 00:03:37.000 GMT+0200,1.07701,1.07701,1.07701,1.07701,0.9
07.05.2024 00:03:40.000 GMT+0200,1.07701,1.07701,1.07701,1.07701,0.9
07.05.2024 00:04:06.000 GMT+0200,1.07702,1.07703,1.07702,1.07703,2.7000000000000006
07.05.2024 00:04:17.000 GMT+0200,1.07703,1.07703,1.07703,1.07703,1.8
07.05.2024 00:04:43.000 GMT+0200,1.07702,1.07703,1.07701,1.07701,9
07.05.2024 00:04:44.000 GMT+0200,1.07700,1.07700,1.07700,1.07700,2.7
07.05.2024 00:05:01.000 GMT+0200,1.07701,1.07701,1.07700,1.07701,7.2
07.05.2024 00:05:03.000 GMT+0200,1.07700,1.07700,1.07700,1.07700,3.6
07.05.2024 00:09:44.000 GMT+0200,1.07698,1.07698,1.07696,1.07696,3.15
07.05.2024 00:10:58.000 GMT+0200,1.07696,1.07696,1.07696,1.07696,2.7
07.05.2024 00:11:00.000 GMT+0200,1.07699,1.07699,1.07699,1.07699,3.6
07.05.2024 00:11:01.000 GMT+0200,1.07697,1.07697,1.07697,1.07697,3.6
07.05.2024 00:11:29.000 GMT+0200,1.07697,1.07697,1.07697,1.07697,2.7
07.05.2024 00:11:41.000 GMT+0200,1.07698,1.07698,1.07697,1.07697,4.5
07.05.2024 00:11:42.000 GMT+0200,1.07698,1.07698,1.07698,1.07698,1.8
07.05.2024 00:11:46.000 GMT+0200,1.07697,1.07697,1.07697,1.07697,2.7
07.05.2024 00:11:50.000 GMT+0200,1.07698,1.07698,1.07698,1.07698,2.7
07.05.2024 00:11:54.000 GMT+0200,1.07699,1.07699,1.07699,1.07699,2.7
07.05.2024 00:12:19.000 GMT+0200,1.07700,1.07700,1.07700,1.07700,1.8
07.05.2024 00:12:21.000 GMT+0200,1.07699,1.07699,1.07699,1.07699,3.15
07.05.2024 00:12:25.000 GMT+0200,1.07700,1.07700,1.07700,1.07700,1.8
07.05.2024 00:12:35.000 GMT+0200,1.07699,1.07700,1.07699,1.07700,4.5
07.05.2024 00:12:41.000 GMT+0200,1.07699,1.07699,1.07699,1.07699,3.15
07.05.2024 00:13:21.000 GMT+0200,1.07700,1.07700,1.07700,1.07700,1.8
07.05.2024 00:13:24.000 GMT+0200,1.07699,1.07699,1.07699,1.07699,3.15
07.05.2024 00:13:28.000 GMT+0200,1.07698,1.07698,1.07697,1.07697,5.4
07.05.2024 00:13:48.000 GMT+0200,1.07698,1.07698,1.07698,1.07698,1.8
07.05.2024 00:13:54.000 GMT+0200,1.07697,1.07697,1.07695,1.07695,4.5
07.05.2024 00:16:06.000 GMT+0200,1.07696,1.07696,1.07696,1.07696,0.9
07.05.2024 00:16:30.000 GMT+0200,1.07695,1.07695,1.07695,1.07695,2.7
07.05.2024 00:20:18.000 GMT+0200,1.07697,1.07699,1.07697,1.07699,10.8
07.05.2024 00:21:27.000 GMT+0200,1.07700,1.07701,1.07700,1.07701,3.6
07.05.2024 00:21:37.000 GMT+0200,1.07700,1.07700,1.07700,1.07700,2.7
07.05.2024 00:23:15.000 GMT+0200,1.07700,1.07700,1.07700,1.07700,0.9
07.05.2024 00:24:30.000 GMT+0200,1.07700,1.07700,1.07700,1.07700,2.7
07.05.2024 00:25:36.000 GMT+0200,1.07699,1.07699,1.07699,1.07699,4.05
07.05.2024 00:25:46.000 GMT+0200,1.07700,1.07700,1.07700,1.07700,1.8
07.05.2024 00:25:47.000 GMT+0200,1.07700,1.07700,1.07700,1.07700,1.8
07.05.2024 00:26:47.000 GMT+0200,1.07699,1.07699,1.07699,1.07699,1.8
07.05.2024 00:27:08.000 GMT+0200,1.07700,1.07700,1.07700,1.07700,1.8
07.05.2024 00:27:31.000 GMT+0200,1.07699,1.07699,1.07699,1.07699,2.7
07.05.2024 00:27:40.000 GMT+0200,1.07698,1.07698,1.07698,1.07698,2.7
07.05.2024 00:27:41.000 GMT+0200,1.07699,1.07699,1.07699,1.07699,1.8
07.05.2024 00:27:59.000 GMT+0200,1.07697,1.07697,1.07695,1.07695,11.25
07.05.2024 00:28:10.000 GMT+0200,1.07695,1.07695,1.07695,1.07695,2.7
07.05.2024 00:28:19.000 GMT+0200,1.07696,1.07696,1.07696,1.07696,0.9
07.05.2024 00:28:30.000 GMT+0200,1.07695,1.07695,1.07695,1.07695,2.7
07.05.2024 00:30:13.000 GMT+0200,1.07694,1.07694,1.07691,1.07691,20.549999999999997
07.05.2024 00:30:24.000 GMT+0200,1.07690,1.07690,1.07690,1.07690,0.9
07.05.2024 00:30:26.000 GMT+0200,1.07690,1.07690,1.07685,1.07685,7.2
07.05.2024 00:30:36.000 GMT+0200,1.07685,1.07685,1.07685,1.07685,4.5
07.05.2024 00:30:37.000 GMT+0200,1.07689,1.07690,1.07689,1.07690,2.7000000000000006
07.05.2024 00:30:38.000 GMT+0200,1.07690,1.07690,1.07690,1.07690,0.9
07.05.2024 00:30:43.000 GMT+0200,1.07693,1.07693,1.07693,1.07693,1.8
07.05.2024 00:30:48.000 GMT+0200,1.07693,1.07693,1.07693,1.07693,4.5
07.05.2024 00:30:55.000 GMT+0200,1.07694,1.07694,1.07694,1.07694,4.5
07.05.2024 00:30:59.000 GMT+0200,1.07695,1.07695,1.07695,1.07695,3.6
07.05.2024 00:31:04.000 GMT+0200,1.07694,1.07694,1.07694,1.07694,6.3
07.05.2024 00:31:05.000 GMT+0200,1.07695,1.07695,1.07695,1.07695,0.9
07.05.2024 00:32:10.000 GMT+0200,1.07694,1.07694,1.07694,1.07694,5.4
07.05.2024 00:32:13.000 GMT+0200,1.07695,1.07695,1.07695,1.07695,3.6
07.05.2024 00:32:20.000 GMT+0200,1.07695,1.07695,1.07695,1.07695,4.5
07.05.2024 00:32:53.000 GMT+0200,1.07694,1.07694,1.07694,1.07694,4.95
07.05.2024 00:33:03.000 GMT+0200,1.07695,1.07695,1.07695,1.07695,4.5
07.05.2024 00:33:30.000 GMT+0200,1.07695,1.07695,1.07695,1.07695,0.9
07.05.2024 00:33:40.000 GMT+0200,1.07694,1.07694,1.07694,1.07694,0.9
07.05.2024 00:34:31.000 GMT+0200,1.07693,1.07693,1.07691,1.07691,2.7000000000000006
07.05.2024 00:34:41.000 GMT+0200,1.07690,1.07690,1.07690,1.07690,0.9
07.05.2024 00:35:29.000 GMT+0200,1.07689,1.07689,1.07689,1.07689,4.5
07.05.2024 00:35:33.000 GMT+0200,1.07686,1.07686,1.07685,1.07685,1.8
07.05.2024 00:36:18.000 GMT+0200,1.07688,1.07688,1.07688,1.07688,6.39
07.05.2024 00:36:28.000 GMT+0200,1.07689,1.07689,1.07689,1.07689,0.9
07.05.2024 00:36:39.000 GMT+0200,1.07690,1.07690,1.07690,1.07690,0.9
07.05.2024 00:37:30.000 GMT+0200,1.07689,1.07689,1.07689,1.07689,5.85
07.05.2024 00:38:04.000 GMT+0200,1.07690,1.07690,1.07690,1.07690,3.6
07.05.2024 00:38:06.000 GMT+0200,1.07689,1.07690,1.07689,1.07690,9.45
07.05.2024 00:38:12.000 GMT+0200,1.07690,1.07690,1.07690,1.07690,4.5
07.05.2024 00:38:29.000 GMT+0200,1.07691,1.07691,1.07691,1.07691,0.9
07.05.2024 00:38:30.000 GMT+0200,1.07690,1.07690,1.07690,1.07690,4.5
07.05.2024 00:38:33.000 GMT+0200,1.07691,1.07691,1.07691,1.07691,0.9
07.05.2024 00:38:43.000 GMT+0200,1.07693,1.07693,1.07692,1.07692,9
07.05.2024 00:38:47.000 GMT+0200,1.07693,1.07693,1.07693,1.07693,3.6
07.05.2024 00:38:53.000 GMT+0200,1.07693,1.07693,1.07693,1.07693,4.5
07.05.2024 00:38:55.000 GMT+0200,1.07692,1.07693,1.07692,1.07693,9.9
07.05.2024 00:39:31.000 GMT+0200,1.07691,1.07691,1.07690,1.07690,6.409999999999999
07.05.2024 00:39:43.000 GMT+0200,1.07692,1.07693,1.07692,1.07693,5.4
07.05.2024 00:40:10.000 GMT+0200,1.07693,1.07693,1.07691,1.07691,9
07.05.2024 00:40:14.000 GMT+0200,1.07692,1.07692,1.07692,1.07692,4.5
07.05.2024 00:40:15.000 GMT+0200,1.07693,1.07693,1.07693,1.07693,3.6
07.05.2024 00:40:16.000 GMT+0200,1.07692,1.07692,1.07692,1.07692,0.9
07.05.2024 00:40:28.000 GMT+0200,1.07693,1.07693,1.07693,1.07693,5.4
07.05.2024 00:40:38.000 GMT+0200,1.07694,1.07694,1.07694,1.07694,0.9
07.05.2024 00:40:48.000 GMT+0200,1.07693,1.07693,1.07693,1.07693,4.5
07.05.2024 00:40:59.000 GMT+0200,1.07694,1.07694,1.07694,1.07694,0.9
07.05.2024 00:41:18.000 GMT+0200,1.07692,1.07692,1.07692,1.07692,3.6
07.05.2024 00:41:19.000 GMT+0200,1.07690,1.07690,1.07690,1.07690,0.9
07.05.2024 00:41:34.000 GMT+0200,1.07691,1.07691,1.07691,1.07691,5.85
07.05.2024 00:42:04.000 GMT+0200,1.07690,1.07690,1.07690,1.07690,5.4
07.05.2024 00:42:18.000 GMT+0200,1.07689,1.07689,1.07689,1.07689,6.84
07.05.2024 00:42:20.000 GMT+0200,1.07690,1.07690,1.07690,1.07690,3.6
07.05.2024 00:42:25.000 GMT+0200,1.07689,1.07689,1.07689,1.07689,5.4
07.05.2024 00:42:38.000 GMT+0200,1.07690,1.07690,1.07690,1.07690,3.6
07.05.2024 00:42:40.000 GMT+0200,1.07690,1.07690,1.07690,1.07690,4.5
07.05.2024 00:45:00.000 GMT+0200,1.07689,1.07689,1.07689,1.07689,5.85
07.05.2024 00:45:15.000 GMT+0200,1.07687,1.07688,1.07687,1.07688,9
07.05.2024 00:45:16.000 GMT+0200,1.07689,1.07689,1.07689,1.07689,0.9
07.05.2024 00:45:37.000 GMT+0200,1.07688,1.07688,1.07687,1.07687,9
07.05.2024 00:45:53.000 GMT+0200,1.07688,1.07688,1.07688,1.07688,3.6
07.05.2024 00:46:00.000 GMT+0200,1.07688,1.07688,1.07688,1.07688,4.5
07.05.2024 00:46:01.000 GMT+0200,1.07688,1.07688,1.07685,1.07685,14.700000000000001
07.05.2024 00:46:46.000 GMT+0200,1.07688,1.07688,1.07688,1.07688,1.8
07.05.2024 00:47:10.000 GMT+0200,1.07687,1.07687,1.07687,1.07687,5.4
07.05.2024 00:47:41.000 GMT+0200,1.07688,1.07688,1.07688,1.07688,0.9
07.05.2024 00:47:49.000 GMT+0200,1.07689,1.07689,1.07689,1.07689,0.9
07.05.2024 00:48:03.000 GMT+0200,1.07691,1.07691,1.07691,1.07691,0.9900000000000001
07.05.2024 00:48:58.000 GMT+0200,1.07691,1.07691,1.07691,1.07691,1.8
07.05.2024 00:49:08.000 GMT+0200,1.07690,1.07690,1.07690,1.07690,0.9
07.05.2024 00:49:19.000 GMT+0200,1.07689,1.07689,1.07688,1.07688,9.9
07.05.2024 00:49:21.000 GMT+0200,1.07689,1.07689,1.07689,1.07689,1.35
07.05.2024 00:49:22.000 GMT+0200,1.07689,1.07689,1.07689,1.07689,4.95
